"Fire","Patch","Elevation","Nearby_Easting","Nearby_Northing","Sdlg","Species","Slope.Deg","Aspect.deg","Ht.cm","BasDia.cm","LastYearGrth.cm","HTLCB","Dia_at_2016_growth","Dia_at_2015_growth","Ht2015.meas2016","Note1","Note2","Note3_Light","DataSheet1","Light_File","DIFN","FirePatch","return","Date1","Date2","personel2","personel1","Time1","Time2","Photo","DataSheet2","ShrubSpp03","Cov1","Ht1","Cov1.2","Ht1.2","Cov1.3","Ht1.3","Years"
"CLVD","N",1626,72432,4303788,"1","PILA",18,2,121,2.92,13.3,0,NA,NA,NA,"first plot using line protocol. two data sheets","","","Data_Sheet_CLVD_N_May_30",20,0.232,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",09:45:00,08:01:00,"1","NA","ARPA",290,130.862068965517,870,121.436781609195,1310,115.572519083969,24
"CLVD","N",1626,72432,4303788,"2","PIPO",18,2,143,3.44,6.7,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30",4,0.031,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",09:45:00,08:01:00,"1","NA","ARPA",290,130.862068965517,870,121.436781609195,1310,115.572519083969,24
"CLVD","N",1626,72432,4303788,"3","PSME",18,2,68,1.71,5.6,0,NA,NA,NA,"averaged two files' DIFN","","","Data_Sheet_CLVD_N_May_30",0,0.2215,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",09:45:00,08:01:00,"1","NA","ARPA",290,130.862068965517,870,121.436781609195,1310,115.572519083969,24
"CLVD","N",1626,724321,4303791,"4","PIPO",18,2,88,1.85,3.09,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30_2",18,0.366,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",490,130.612244897959,930,113.010752688172,1450,115.51724137931,24
"CLVD","N",1626,724321,4303791,"5","PIPO",14,2,191,6.19,19,0,NA,NA,NA,"","","","Data_Sheet_CLVD_N_May_30_2",21,0.406,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",240,60.625,550,81,980,89.5408163265306,24
"CLVD","N",1626,724392,4303842,"6","ABCO",22,85,9.45,0.3,1.92,0,NA,NA,NA,"right under log","right under log","","Data_Sheet_CLVD_N_May_30_2",16,0.296,"CLVD-N","0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",400,123,890,124.269662921348,1180,125.466101694915,24
"CLVD","N",1626.5,724392,4303842,"7","ABCO",0,0,22,0.37,2.3,0,NA,NA,NA,"need to exclude, big quke right next to it","oak greater than 3m tall right above it","","Data_Sheet_CLVD_N_May_31",0,0,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","QUKE",440,535,800,503.625,1260,392.936507936508,24
"CLVD","N",1626.5,724392,4303842,"8","PIPO",0,0,110,7.2,16,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",13,0.909,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","CEIN",370,72.4324324324324,820,97.5609756097561,1100,106.363636363636,24
"CLVD","N",1626.5,724392,4303842,"9","ABCO",0,0,146,3.52,18,0,NA,NA,NA," missing slope and aspect, could use nearby","error in file 26? DIFN reported is file 15","","Data_Sheet_CLVD_N_May_31",0,0.283,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",400,127.25,940,119.148936170213,1440,132.083333333333,24
"CLVD","N",1626.5,724392,4303842,"10","PIPO",0,0,163,5.86,23,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",27,0.325,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",330,85.1515151515152,770,95.8441558441558,1190,116.302521008403,24
