"Sdlg","Fire","FirePatch","Elevation","Species","Slope.Deg","Aspect.deg","Ht.cm","BasDia.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","ShrG1","IAG","ref","Years","Date","LAI","DIFN.53"
"1","CLVD","CLVD-N",1631,"PILA",18,2,121,2.92,13.3,"20",0.232,"none",0,"ARPA","ARPA","ARPA",300,630,440,103.125,112.222222222222,99.375,930,1370,107.673611111111,104.907407407407,"Arcto",0,0,24,"20160610 05:17:03",2.21,0.264
"2","CLVD","CLVD-N",1631,"PIPO",18,2,143,3.44,6.7,"4",0.031,"none",0,"ARPA","ARPA","ARPA",300,630,440,103.125,112.222222222222,99.375,930,1370,107.673611111111,104.907407407407,"Arcto",0,0,24,"20160527 08:38:47",6.2,0.031
"3","CLVD","CLVD-N",1631,"PSME",18,2,68,1.71,5.6,"17,19",0.2215,"ARPA",135,"ARPA","ARPA","ARPA",300,630,440,103.125,112.222222222222,99.375,930,1370,107.673611111111,104.907407407407,"Arcto",0,0,24,NA,NA,0.2535
"4","CLVD","CLVD-N",1631,"PIPO",18,2,88,1.85,3.09,"18",0.366,"ARPA",180,"ARPA","ARPA","ARPA",490,440,520,91.1111111111111,80.7142857142857,98.5714285714286,930,1450,85.9126984126984,90.1322751322751,"Arcto",0,0,24,"20160610 05:06:53",1.53,0.37
"5","CLVD","CLVD-N",1631,"PIPO",14,2,191,6.19,19,"21",0.406,"none",0,"CHSE","CHSE","ARPA",260,310,430,70,71.875,80,570,1000,70.9375,73.9583333333333,"CHSE",0,0,24,"20160610 05:22:51",1.28,0.423
"6","CLVD","CLVD-N",1631,"ABCO",22,85,9.45,0.3,1.92,"16",0.296,"ARPA",200,"ARPA","ARPA","ARPA",400,490,290,116.666666666667,125.833333333333,95.8333333333333,890,1180,121.25,112.777777777778,"Arcto",0,0,24,"20160531 20:32:01",1.67,0.331
"7","CLVD","CLVD-N",1632,"ABCO",NA,NA,22,0.37,2.3,"",NA,"QUKE",800,"QUKE","QUKE","QUKE",440,360,460,466.666666666667,280,166.25,800,1260,373.333333333333,304.305555555556,"Quercus",0,0,24,NA,NA,NA
"8","CLVD","CLVD-N",1632,"PIPO",NA,NA,110,7.2,16,"13",0.909,"none",0,"CEIN","CEIN","CEIN",370,450,280,75.5555555555556,110,104,820,1100,92.7777777777778,96.5185185185185,"Ceanothus",0,0,24,"20160531 19:48:46",0.15,0.909
"9","CLVD","CLVD-N",1632,"ABCO",NA,NA,146,3.52,18,"15,26",0.283,"ARPA",190,"ARPA","ARPA","ARPA",400,540,500,100,96.6666666666667,146.666666666667,940,1440,98.3333333333333,114.444444444444,"Arcto",0,0,24,NA,NA,0.298
"10","CLVD","CLVD-N",1632,"PIPO",NA,NA,163,5.86,23,"27",0.325,"none",0,"CEIN","CEIN","ARPA",330,400,420,90,83.75,115.714285714286,730,1150,86.875,96.4880952380952,"Ceanothus",0,0,24,"20160610 05:52:22",1.77,0.386
"11","CLVD","CLVD-N",1632,"PIPO",NA,NA,27,0.9,2.64,"24",0.245,"CEIN",50,"CEIN","CEIN","ARPA",400,530,370,70,93.75,120,930,1300,81.875,94.5833333333333,"Ceanothus",0,0,24,"20160610 05:38:41",1.99,0.287
"12","CLVD","CLVD-N",1632,"ABCO",NA,NA,123,4.24,16.3,"28",0.966,"none",0,"CEPR","CEPR","CEPR",350,160,300,9,5,19,510,810,7,11,"Ceanothus",0,0,24,"20160610 05:57:28",0.01,0.991
"13","CLVD","CLVD-N",1632,"ABCO",NA,NA,11.8,0.65,2.1,"",NA,"none",0,"CEPR","CEPR","CEPR",380,160,300,14.1666666666667,5,19,540,840,9.58333333333333,12.7222222222222,"Ceanothus",0,0,24,NA,NA,NA
"14","CLVD","CLVD-N",1632,"PSME",NA,NA,40,1.41,9.96,"",NA,"none",0,"CEPR","CEPR","CEPR",360,270,140,5,7,6.25,630,770,6,6.08333333333333,"Ceanothus",0,0,24,NA,NA,NA
"15","CLVD","CLVD-N",1632,"ABCO",NA,NA,46,1.28,7.9,"25",0.606,"none",0,"CEPR","CEPR","CEPR",570,420,340,27,56.4285714285714,72.5,990,1330,41.7142857142857,51.9761904761905,"Ceanothus",0,0,24,"20160610 05:42:30",0.54,0.719
"16","CLVD","CLVD-N",1632,"PILA",NA,NA,16.2,0.52,1.35,"23",0.204,"CECO, ARPA",130,"ARPA","ARPA","ARPA",480,490,490,98.1818181818182,109.090909090909,100,970,1460,103.636363636364,102.424242424242,"Arcto",0,0,24,"20160610 05:34:13",2.38,0.239
"19","CLVD","CLVD-SW",1405,"PIPO",4,152,60,0.68,5,"",NA,"CEIN",260,"CEIN","CEIN","CEIN",390,320,310,142,187.5,202.5,710,1020,164.75,177.333333333333,"Ceanothus",0,0,24,NA,NA,NA
"20","FRDS","FRDS-JB",1568,"PIPO",18,90,81,2.5,19.5,"",NA,"none",0,"PREM","CEIN","CECO",10,80,200,36.6666666666667,60,65,90,290,48.3333333333333,53.8888888888889,"Other",0,0,12,NA,NA,NA
"21","FRDS","FRDS-JB",1568,"PIPO",18,90,83,2.7,20.5,"",NA,"none",0,"PREM","CEIN","CECO",10,80,200,36.6666666666667,60,65,90,290,48.3333333333333,53.8888888888889,"Other",0,0,12,NA,NA,NA
"22","FRDS","FRDS-JB",1568,"PIPO",18,90,91,2.3,12.5,"",NA,"PREM",100,"PREM","PREM","PREM",200,190,170,66,78,106.666666666667,390,560,72,83.5555555555556,"Other",0,0,12,NA,NA,NA
